Student_ID,Study Hours per Week,Attendance Rate,Previous Grades,Sleep Hours per Night,Extra Curricular Activities,Performance Score
1,23.5,94.3,96.0,8.2,No,74.4
2,19.0,100.0,88.9,6.2,Yes,75.6
3,24.5,71.0,75.9,5.8,No,70.9
4,30.7,90.6,65.3,7.0,Yes,66.0
5,18.4,78.5,85.5,6.7,No,68.5
6,18.4,80.1,80.9,6.3,No,65.4
7,31.1,79.1,88.4,8.0,Yes,85.1
8,25.4,76.4,84.5,8.4,No,78.6
9,16.7,85.5,90.7,7.1,No,72.7
10,23.8,76.7,67.0,9.2,Yes,71.0
11,16.8,87.7,94.8,5.3,Yes,72.8
12,16.7,84.5,78.0,6.7,No,69.9
13,21.7,82.6,100.0,5.9,No,93.2
14,6.6,75.9,64.7,4.2,No,60.3
15,7.9,79.2,100.0,6.9,Yes,67.0
16,16.1,92.6,78.0,6.8,Yes,80.1
17,12.9,90.0,65.2,9.3,No,68.3
18,22.2,75.2,67.7,7.9,Yes,63.8
19,13.6,86.0,70.2,5.5,Yes,70.9
20,10.1,92.5,81.4,9.8,Yes,78.3
21,30.3,68.3,82.8,8.8,No,68.6
22,18.4,90.4,66.4,7.9,No,63.4
23,20.5,78.4,74.6,6.7,No,78.9
24,10.0,90.7,100.0,5.6,No,76.2
25,16.2,77.4,100.0,6.4,No,82.5
26,20.8,67.0,81.5,8.6,No,74.7
27,11.9,68.7,75.6,9.8,Yes,65.4
28,22.6,85.5,76.8,9.3,No,63.2
29,15.8,87.6,84.2,6.3,No,80.5
30,18.0,76.0,59.7,5.3,No,68.3
31,15.8,91.4,71.1,7.2,No,68.7
32,33.0,68.4,50.0,4.3,No,57.5
33,19.9,84.3,81.0,7.5,Yes,66.8
34,12.6,72.9,84.7,6.8,No,73.9
35,25.8,78.5,67.8,6.3,No,75.2
36,11.5,85.5,98.6,4.6,No,70.1
37,21.5,76.4,56.6,7.8,No,73.7
38,6.3,81.2,53.0,6.2,No,51.3
39,10.7,95.1,78.4,5.2,Yes,71.2
40,21.4,79.2,90.7,4.0,No,63.1
41,25.2,93.4,100.0,7.0,Yes,88.9
42,21.2,73.7,68.1,9.7,No,64.1
43,19.2,90.3,91.2,9.5,No,77.9
44,17.9,99.4,74.4,6.3,No,69.8
45,9.7,60.3,72.4,6.1,No,59.1
46,15.0,77.0,88.3,7.7,No,80.4
47,16.8,90.8,84.8,5.5,Yes,70.7
48,27.4,83.0,51.4,7.5,No,56.4
49,22.4,88.7,97.1,8.1,Yes,97.6
50,7.7,79.0,95.7,8.8,No,80.8
51,22.3,85.9,65.6,6.8,Yes,63.2
52,17.3,83.4,80.9,6.7,Yes,79.5
53,15.3,96.7,82.4,5.7,No,68.3
54,24.3,87.5,78.9,5.8,Yes,78.3
55,27.2,88.4,66.7,6.7,No,75.5
56,26.5,80.9,64.9,7.6,No,70.9
57,14.1,80.1,74.6,8.4,Yes,64.0
58,17.8,80.7,92.6,5.8,No,70.6
59,22.3,88.9,83.2,9.2,Yes,70.7
60,26.8,80.8,69.4,6.6,Yes,68.8
61,16.6,87.9,86.6,7.0,No,75.7
62,18.7,100.0,32.3,5.9,Yes,51.5
63,12.3,93.7,92.2,4.0,No,72.1
64,11.6,81.7,48.9,8.3,Yes,68.4
65,25.7,97.0,69.6,8.1,Yes,73.4
66,29.5,80.9,58.2,6.6,No,70.9
67,19.5,64.6,55.6,7.1,No,65.7
68,27.0,74.9,92.4,7.8,Yes,87.4
69,22.5,66.3,68.0,4.7,No,63.1
70,15.5,81.5,80.2,6.2,Yes,77.0
71,22.5,85.2,74.3,8.2,No,77.6
72,30.8,100.0,82.2,5.1,No,69.2
73,19.7,88.3,76.2,7.4,No,80.6
74,31.0,82.8,55.8,5.0,No,70.4
75,5.0,93.3,89.9,7.7,No,66.1
76,25.8,62.9,67.6,6.9,No,70.4
77,20.6,87.4,51.7,4.6,No,62.4
78,17.9,92.7,68.6,8.7,No,67.5
79,20.6,70.2,97.5,5.9,Yes,86.9
80,6.1,96.4,87.8,5.8,No,85.0
81,18.5,88.4,69.8,7.3,No,65.6
82,22.5,80.8,69.8,8.7,No,60.9
83,30.3,91.3,70.2,5.5,No,75.0
84,16.4,100.0,100.0,7.1,No,88.4
85,14.3,86.8,80.7,7.6,Yes,72.6
86,16.5,87.5,81.5,8.0,Yes,85.6
87,26.4,80.4,90.5,7.3,No,73.2
88,22.3,76.5,78.6,6.4,No,78.6
89,16.3,93.3,71.1,5.8,No,63.4
90,23.6,76.4,72.1,7.1,No,85.2
91,20.7,85.7,73.9,5.4,No,83.2
92,26.8,80.2,74.4,4.0,No,61.2
93,15.1,89.8,85.9,7.7,Yes,73.3
94,17.7,88.3,75.8,8.4,Yes,79.5
95,17.3,95.4,86.0,4.0,No,65.5
